text,label
"I feel like giving up, the pressure is too much.",High
"I'm stressing over the math section, but I think I can pass.",Moderate
Looking forward to getting this test over with.,Low
"Not too worried, I passed the practice tests easily.",Low
"I can't breathe, I'm panicking so much about this exam.",High
"Just a bit nervous, but I've studied well.",Low
I keep crying because I'm so overwhelmed by everything.,High
"I feel like giving up, the pressure is too much.",High
It's hard to concentrate right now with the exam so close.,Moderate
It's hard to concentrate right now with the exam so close.,Moderate
"I can't breathe, I'm panicking so much about this exam.",High
I keep crying because I'm so overwhelmed by everything.,High
"Studying went well, so I think I'll be okay.",Low
"Not too worried, I passed the practice tests easily.",Low
"It's just another exam, I will do fine.",Low
I feel fairly prepared for the exam tomorrow.,Low
I've slept well and I'm ready.,Low
"I feel like giving up, the pressure is too much.",High
Complete breakdown over here. I can't cope with the stress.,High
I am absolutely freezing up. I can't remember anything.,High
I feel sick to my stomach with worry.,High
I'm calm. I've covered all the material.,Low
Nervous but trying to stay positive.,Moderate
"I'm stressing over the math section, but I think I can pass.",Moderate
I've got a good grasp on the syllabus.,Low
The pressure is definitely building up tonight.,Moderate
My mind is completely blank and my hands are shaking.,High
"Studying went well, so I think I'll be okay.",Low
I'm having a panic attack just thinking about the test.,High
I keep crying because I'm so overwhelmed by everything.,High
My mind is completely blank and my hands are shaking.,High
I am absolutely freezing up. I can't remember anything.,High
Nervous but trying to stay positive.,Moderate
"I feel like giving up, the pressure is too much.",High
I'm having a panic attack just thinking about the test.,High
It's hard to concentrate right now with the exam so close.,Moderate
"Not too worried, I passed the practice tests easily.",Low
Nervous but trying to stay positive.,Moderate
Nervous but trying to stay positive.,Moderate
"Just a bit nervous, but I've studied well.",Low
This stress is unbearable. I can't sleep or eat.,High
I've slept well and I'm ready.,Low
My mind is completely blank and my hands are shaking.,High
I'm a bit overwhelmed with the amount of syllabus left.,Moderate
I feel like I forgot what I read yesterday.,Moderate
"Just a bit nervous, but I've studied well.",Low
I'm starting to feel the pressure for the finals.,Moderate
"Not feeling 100% confident, my stomach is in knots.",Moderate
Looking forward to getting this test over with.,Low
I'm a bit overwhelmed with the amount of syllabus left.,Moderate
My mind is completely blank and my hands are shaking.,High
"It's just another exam, I will do fine.",Low
I've got a good grasp on the syllabus.,Low
I'm relaxed and ready to take the test.,Low
The pressure is definitely building up tonight.,Moderate
"A little normal pre-test jitter, but mostly feeling good.",Low
My mind is completely blank and my hands are shaking.,High
Looking forward to getting this test over with.,Low
"It's just another exam, I will do fine.",Low
"I'm stressing over the math section, but I think I can pass.",Moderate
Looking forward to getting this test over with.,Low
I'm having a panic attack just thinking about the test.,High
"I need to revise everything again, feeling tense.",Moderate
This stress is unbearable. I can't sleep or eat.,High
I've got a good grasp on the syllabus.,Low
My heart rate is up a bit thinking about tomorrow.,Moderate
My mind is completely blank and my hands are shaking.,High
I'm relaxed and ready to take the test.,Low
I keep crying because I'm so overwhelmed by everything.,High
I'm getting stressed out. What if I fail?,Moderate
I feel fairly prepared for the exam tomorrow.,Low
Nervous but trying to stay positive.,Moderate
So dreading tomorrow. I can't stop my thoughts racing.,High
Looking forward to getting this test over with.,Low
"Just a bit nervous, but I've studied well.",Low
I am absolutely freezing up. I can't remember anything.,High
I feel like I forgot what I read yesterday.,Moderate
I'm starting to feel the pressure for the finals.,Moderate
My heart rate is up a bit thinking about tomorrow.,Moderate
I'm getting stressed out. What if I fail?,Moderate
"It's just another exam, I will do fine.",Low
"I can't breathe, I'm panicking so much about this exam.",High
"Studying went well, so I think I'll be okay.",Low
"I need to revise everything again, feeling tense.",Moderate
So dreading tomorrow. I can't stop my thoughts racing.,High
The pressure is definitely building up tonight.,Moderate
"A little normal pre-test jitter, but mostly feeling good.",Low
I feel like I forgot what I read yesterday.,Moderate
"Just a bit nervous, but I've studied well.",Low
"A little normal pre-test jitter, but mostly feeling good.",Low
I'm a bit overwhelmed with the amount of syllabus left.,Moderate
I feel like I forgot what I read yesterday.,Moderate
"It's just another exam, I will do fine.",Low
I'm getting stressed out. What if I fail?,Moderate
I'm terrified I'm going to fail no matter how much I study.,High
I've got a good grasp on the syllabus.,Low
Looking forward to getting this test over with.,Low
I feel sick to my stomach with worry.,High
"A little normal pre-test jitter, but mostly feeling good.",Low
"I feel like giving up, the pressure is too much.",High
I keep crying because I'm so overwhelmed by everything.,High
Nervous but trying to stay positive.,Moderate
Complete breakdown over here. I can't cope with the stress.,High
I'm starting to feel the pressure for the finals.,Moderate
"Not too worried, I passed the practice tests easily.",Low
I'm a bit overwhelmed with the amount of syllabus left.,Moderate
I'm having a panic attack just thinking about the test.,High
I'm having a panic attack just thinking about the test.,High
It's hard to concentrate right now with the exam so close.,Moderate
"Studying went well, so I think I'll be okay.",Low
It's hard to concentrate right now with the exam so close.,Moderate
"I'm stressing over the math section, but I think I can pass.",Moderate
I've slept well and I'm ready.,Low
I'm terrified I'm going to fail no matter how much I study.,High
I feel sick to my stomach with worry.,High
"A little normal pre-test jitter, but mostly feeling good.",Low
"I need to revise everything again, feeling tense.",Moderate
Nervous but trying to stay positive.,Moderate
My heart rate is up a bit thinking about tomorrow.,Moderate
"A little normal pre-test jitter, but mostly feeling good.",Low
"I'm stressing over the math section, but I think I can pass.",Moderate
Complete breakdown over here. I can't cope with the stress.,High
My mind is completely blank and my hands are shaking.,High
I'm having a panic attack just thinking about the test.,High
This stress is unbearable. I can't sleep or eat.,High
I'm a bit overwhelmed with the amount of syllabus left.,Moderate
"It's just another exam, I will do fine.",Low
"Not too worried, I passed the practice tests easily.",Low
This stress is unbearable. I can't sleep or eat.,High
"I need to revise everything again, feeling tense.",Moderate
"Hopefully, the questions aren't too tricky. I'm anxious.",Moderate
I've slept well and I'm ready.,Low
It's hard to concentrate right now with the exam so close.,Moderate
I'm a bit overwhelmed with the amount of syllabus left.,Moderate
It feels like the end of the world if I mess this up.,High
It's hard to concentrate right now with the exam so close.,Moderate
I'm calm. I've covered all the material.,Low
So dreading tomorrow. I can't stop my thoughts racing.,High
"I feel like giving up, the pressure is too much.",High
Complete breakdown over here. I can't cope with the stress.,High
"Just a bit nervous, but I've studied well.",Low
Complete breakdown over here. I can't cope with the stress.,High
I am absolutely freezing up. I can't remember anything.,High
I feel sick to my stomach with worry.,High
I'm having a panic attack just thinking about the test.,High
I keep crying because I'm so overwhelmed by everything.,High
Nervous but trying to stay positive.,Moderate
I'm starting to feel the pressure for the finals.,Moderate
I'm calm. I've covered all the material.,Low
I've slept well and I'm ready.,Low
"I feel like giving up, the pressure is too much.",High
I've slept well and I'm ready.,Low
It feels like the end of the world if I mess this up.,High
I feel like I forgot what I read yesterday.,Moderate
I'm getting stressed out. What if I fail?,Moderate
"I'm stressing over the math section, but I think I can pass.",Moderate
I've slept well and I'm ready.,Low
I'm having a panic attack just thinking about the test.,High
"I feel like giving up, the pressure is too much.",High
I'm terrified I'm going to fail no matter how much I study.,High
My heart rate is up a bit thinking about tomorrow.,Moderate
"Studying went well, so I think I'll be okay.",Low
I'm having a panic attack just thinking about the test.,High
I feel fairly prepared for the exam tomorrow.,Low
"I can't breathe, I'm panicking so much about this exam.",High
I'm having a panic attack just thinking about the test.,High
"Not too worried, I passed the practice tests easily.",Low
